MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;LengthOfCircuits;LengthOfRoutes;NumberOfUnits;ProvidedValue;CreationDate;ProvidedValueCode
Inventory of Transmission;5;400;ACL_110kV_220kV;AT;2022;10809;6124;;;08/06/2023;
Inventory of Transmission;5;401;ACL_220kV;AT;2022;3735;1911;;;08/06/2023;
Inventory of Transmission;5;402;ACL_275kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;AT;2022;3004;1386;;;08/06/2023;
Inventory of Transmission;5;405;ACL_750kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;AT;2022;8;7;;;08/06/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;AT;2022;54;54;;;08/06/2023;
Inventory of Transmission;5;408;DCC_220kV_380kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;AT;2022;;;21;13.9;08/06/2023;
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;AT;2022;;;21;6.1;08/06/2023;
Inventory of Transmission;5;418;Nw_330kV_220kV;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;AT;2022;;;45;9.84;08/06/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;AT;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;AT;2022;;;;;08/06/2023;
Inventory of Transmission;5;425;Comments_2;AT;2022;;;;110 kV cables: length of circuits 808 km, length of routh 748 km;08/06/2023;
Inventory of Transmission;5;426;Comments_3;AT;2022;;;;;08/06/2023;
Inventory of Transmission;5;427;Comments_4;AT;2022;;;;;08/06/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;BA;2022;4037.08;;;;08/06/2023;
Inventory of Transmission;5;401;ACL_220kV;BA;2022;1520.09;;;;08/06/2023;
Inventory of Transmission;5;402;ACL_275kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;BA;2022;865.93;;;;08/06/2023;
Inventory of Transmission;5;405;ACL_750kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;BA;2022;;;7;2800;08/06/2023;
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;BA;2022;;;6;1800;08/06/2023;
Inventory of Transmission;5;418;Nw_330kV_220kV;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;BA;2022;;;14;2100;08/06/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;BA;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;BA;2022;;;;;08/06/2023;
Inventory of Transmission;5;425;Comments_2;BA;2022;;;;;08/06/2023;
Inventory of Transmission;5;426;Comments_3;BA;2022;;;;;08/06/2023;
Inventory of Transmission;5;427;Comments_4;BA;2022;;;;;08/06/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;BE;2022;3223;1934.707;;;08/06/2023;
Inventory of Transmission;5;401;ACL_220kV;BE;2022;448.184;298.907;;;08/06/2023;
Inventory of Transmission;5;402;ACL_275kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;BE;2022;1533.558;939.077;;;08/06/2023;
Inventory of Transmission;5;405;ACL_750kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;BE;2022;162;72;;;08/06/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;BE;2022;41;10;;;08/06/2023;
Inventory of Transmission;5;408;DCC_220kV_380kV;BE;2022;49;49;;;08/06/2023;
Inventory of Transmission;5;409;DCC_Over_380kV;BE;2022;139;139;;;08/06/2023;
Inventory of Transmission;5;410;Of_PU_>400kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;BE;2022;;;10;4.2;08/06/2023;
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;BE;2022;;;31;16.3407;08/06/2023;
Inventory of Transmission;5;418;Nw_330kV_220kV;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;BE;2022;;;4;1.275;08/06/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;BE;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;BE;2022;;;;;08/06/2023;
Inventory of Transmission;5;425;Comments_2;BE;2022;;;;;08/06/2023;
Inventory of Transmission;5;426;Comments_3;BE;2022;;;;;08/06/2023;
Inventory of Transmission;5;427;Comments_4;BE;2022;;;;;08/06/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;BG;2022;10164;10164;;;08/06/2023;
Inventory of Transmission;5;401;ACL_220kV;BG;2022;2710;2710;;;08/06/2023;
Inventory of Transmission;5;402;ACL_275kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;BG;2022;3032;3032;;;08/06/2023;
Inventory of Transmission;5;405;ACL_750kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;BG;2022;;;7;2.919;08/06/2023;
Inventory of Transmission;5;411;Of_PU_>330kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;BG;2022;;;36;8.576;08/06/2023;
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;BG;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;BG;2022;;;16;4.044;08/06/2023;
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;BG;2022;;;20;4.532;08/06/2023;
